__Title__,__URL__,Context Title,Context Name (Publication),Context Description,Context Name (Excavation),Culture/Period,Burial Type,Pottery Types,Skeletal Remains,Notes,Season Number,Location Type,Nissen Date,Abbreviation
Unknown,http://ur.iaas.upenn.edu/location/982/,Unknown,Unknown,Woolley did not list a location.
Ur,http://ur.iaas.upenn.edu/location/2/,Ur,Ur; Tell el-Muqayyar,When Woolley lists context only as 'Ur' on his object catalog cards he tends to mean that it was found somewhere within the confines of the city wall but no more specific than that. These are often surface finds that Woolley felt did not require more specific find spot information. Those found outside the city walls were typically recorded as 'brought in' followed by the name of the broad region from which they were brought in by the workers.
AH Site | AH,http://ur.iaas.upenn.edu/location/5/,AH Site | AH,AH Site,"In the southeast portion of the mound of Ur, Woolley excavated a large horizontal extent of domestic space roughly 115 x 85m. near the surface he found scattered Neo-Babylonian and Kassite remains and intrusive graves of the late periods but he did not publish these in detail nor are there any extant notes covering them. Instead, Woolley's main goal was to uncover the best preserved floorplans of houses. These he found several meters down, houses of the Isin-Larsa/Old Babylonian period. Because the Old Babylonian period was typically that associated with the potential time of Abraham, Woolley used the abbreviation AH (Abraham's Housing) to refer to this excavation area.

In the course of excavation of the Isin-Larsa/Old Babylonian levels Woolley numbered 27 'houses,' or excavation units. He renumbered the houses for publication based on the overall plan, preserved walls, and doors onto streets. In this way he showed there were 52 individual houses within his 27 excavation areas. However, houses were frequently altered throughout period, as families would knock out walls or block up doors, and thus true house numbers are difficult to establish. Woolley mentions phases of rebuilding, but states that he sought the best preserved floor plan and published the excavation of a particular house based on that plan alone. In some cases he noted deeper remains that may have gone back to the Ur III period. These levels he partially uncovered as he excavated graves beneath the Larsa period floors.

A great deal of baked brick was in use for walls of the Isin-Larsa/Old Babylonian period. Some houses used it in the lowest portion of a wall, but others used it for entire walls up to 3 meters in height. Town planning was not evident, as streets tended to wander in narrow and winding paths. Corners where streets met were often rounded, leading Woolley to surmise that this was to prevent problems with laden donkeys catching their wares on corners.
Pit G,http://ur.iaas.upenn.edu/location/1247/,Pit G,Pit G,"Beginning in season 7, Woolley excavated a series of pits within the Royal Cemetery. He had already cut this area down about 10 meters from the surface, so it was an ideal location to go deeper to investigate the earliest occupation of the site. The only map of the location of these pits that Woolley published is found in Ur Excavations volume 4 in 1955, but it is demonstrably unreliable. Combining information from the field notes, the UE4 plan, and the UE4 stratigraphic profile helps to get closer to the actual sizes and locations, but most of these cannot be taken as exact.

Pit G was the largest of the pits dug in the Royal Cemetery in season 7 (larger were dug in seasons 11 and 12). It was located northwest of PG/777. The stratigraphic profile shows it as being 10 meters from NW-SE, but an early reference in the Antiquaries Journal for 1929 states that it was laid out as being 14x4 meters. It may have been conceived of as two pits, however, as the same reference mentions one pit on the outer line of a retaining wall [of the early temenos?] and a smaller on the inner line. Together they are later referred to as Pit G, or the smaller one may have been abandoned and only the 10 meter extent of Pit G reported.

The pit was on the northwestern outskirts of the Royal Cemetery and it uncovered some building remains. In fact, walls were not unusual in the Royal Cemetery as witnessed by this quote from UE4, p.70: ""Over a large part of the Cemetery area there extended walls of plano-convex mud bricks, at two distinct levels... All were thin and flimsy, all much destroyed by the diggers of the Cemetery graves."" Woolley felt that these were just store rooms of a temporary nature.

The pits dug in the Royal Cemetery in season 7 were intended to test the lower levels and little if anything was collected from them. Pit G, however, appears to have been a prelude to Pit F and may have initially been conceived of as Pit F in the sequence. Pottery was collected from it and analyzed by Henri Frankfort in Antiquaries Journal volume 9. Initial mentions of the pit indicate it was to go to the lowest levels, but it only reached 7.5 meters above sea level. It also began at a much higher point than other trenches, at 14.5 above sea level. Woolley must have realized he needed a much larger pit to achieve his goals and began that as PFT in the next season. The shift from this pit to the much larger is likely the origin of Legrain's listing of separate PF and PFT contexts, and the beginning of Woolley's realization that he must rename the entire sequence of pits at Ur.",Pit G,,,,,,,
Pit H,http://ur.iaas.upenn.edu/location/4605/,Pit H,Pit H,"Beginning in season 7, Woolley excavated a series of pits within the Royal Cemetery. He had already cut this area down about 10 meters from the surface, so it was an ideal location to go deeper to investigate the earliest occupation of the site. The only map of the location of these pits that Woolley published is found in Ur Excavations volume 4 in 1955, but it is demonstrably unreliable. Combining information from the field notes, the UE4 plan, and the UE4 stratigraphic profile helps to get closer to the actual sizes and locations, but most of these cannot be taken as exact.

Pit H is probably the smallest of the pits in the Royal Cemetery. It does not appear on the stratigraphic profile but is clearly stated to have been located in the middle of chamber B of PG/779. This is a small chamber measuring only 2x2 meters and the pit therefore must be this size or smaller. Woolley reports reaching 2.5 meters above sea level in the pit, beginning at the level of the chamber only 5.65 meters above sea level. Its relatively small horizontal and vertical extents are almost certainly why it does not appear on the profile drawing. It is also approximately in line with Pit A at the angle of the stratigraphic profile and would thus be difficult to include. Finally, it may actually be that the pit was dug in season 8, though there is no firm indication of this.",Pit H,,,,,,,
Pit W,http://ur.iaas.upenn.edu/location/1245/,Pit W,Pit W,"Pit W was excavated from the bottom of area PG near Pits Y and Z in order to more fully explore the Seal Impression Strata discovered running across the cemetery. Since these strata contained so many early seals and tablets it was clear that they were essential for dating the graves and for learning more about the administration of the city of Ur. In order to observe the strata more clearly, Pit W was much larger than most exploratory pits in the cemetery region, laid out to be 15x7 meters. It was dug from the northeast side of PG/1631 but its horizontal extents were not mapped. Its published stratigraphic profile shows that PG/1631 was actually somewhere near the middle of the long side of the trench and Woolley states that Pit W was placed so as to virtually fill the gap between Pits Y and Z, but was set a few meters northeast of them. This allows for a relatively accurate placement of the pit. 

Pit W quickly ran through the seal impression strata but Woolley continued it down much farther, as he had with Pits Y and Z, to reach about a meter below sea level. He thus uncovered many graves earlier than the main Royal Cemetery, and because he believed them to be from the Jemdet Nasr period, he began JNG numbers for them. This discovery, combined with early graves in Pit Y, spawned the conception of a Jemdet Nasr cemetery running beneath and south of the Royal Cemetery, and in season 12 Woolley would seek to expose it in Pit X.",Pit W,,,,,,,
JNG/1,http://ur.iaas.upenn.edu/location/4243/,JNG/1,,,Jemdat Nasr Grave 1,,,,,,,
JNG/10,http://ur.iaas.upenn.edu/location/3727/,JNG/10,,,Jemdat Nasr Grave 10,,,,,,,
JNG/100,http://ur.iaas.upenn.edu/location/4258/,JNG/100,,,Jemdat Nasr Grave 100,,,,,,,
JNG/101,http://ur.iaas.upenn.edu/location/4263/,JNG/101,,,Jemdat Nasr Grave 101,,,,,,,
JNG/102,http://ur.iaas.upenn.edu/location/4606/,JNG/102,,,,,,,,,,
JNG/103,http://ur.iaas.upenn.edu/location/3463/,JNG/103,,,Jemdat Nasr Grave 103,,,,,,,
JNG/104,http://ur.iaas.upenn.edu/location/3728/,JNG/104,,,Jemdat Nasr Grave 104,,,,,,,
JNG/105,http://ur.iaas.upenn.edu/location/4265/,JNG/105,,,Jemdat Nasr Grave 105,,,,,,,
JNG/106,http://ur.iaas.upenn.edu/location/4660/,JNG/106,,,,,,,,,,
JNG/107,http://ur.iaas.upenn.edu/location/4661/,JNG/107,,,,,,,,,,
JNG/108,http://ur.iaas.upenn.edu/location/4662/,JNG/108,,,,,,,,,,
JNG/109,http://ur.iaas.upenn.edu/location/4266/,JNG/109,,,Jemdat Nasr Grave 109,,,,,,,
JNG/11,http://ur.iaas.upenn.edu/location/4677/,JNG/11,,,,,,,,,,
JNG/110,http://ur.iaas.upenn.edu/location/4663/,JNG/110,,,,,,,,,,
JNG/111,http://ur.iaas.upenn.edu/location/4664/,JNG/111,,,,,,,,,,
JNG/112,http://ur.iaas.upenn.edu/location/4267/,JNG/112,,,Jemdat Nasr Grave 112,,,,,,,
JNG/113,http://ur.iaas.upenn.edu/location/4268/,JNG/113,,,Jemdat Nasr Grave 113,,,,,,,
JNG/114,http://ur.iaas.upenn.edu/location/4665/,JNG/114,,,,,,,,,,
JNG/115,http://ur.iaas.upenn.edu/location/4666/,JNG/115,,,,,,,,,,
JNG/116,http://ur.iaas.upenn.edu/location/4269/,JNG/116,,,Jemdat Nasr Grave 116,,,,,,,
JNG/117,http://ur.iaas.upenn.edu/location/4667/,JNG/117,,,,,,,,,,
JNG/118,http://ur.iaas.upenn.edu/location/4668/,JNG/118,,,,,,,,,,
JNG/119,http://ur.iaas.upenn.edu/location/3729/,JNG/119,,,Jemdat Nasr Grave 119,,,,,,,
JNG/12,http://ur.iaas.upenn.edu/location/4678/,JNG/12,,,,,,,,,,
JNG/120,http://ur.iaas.upenn.edu/location/3730/,JNG/120,,,Jemdat Nasr Grave 120,,,,,,,
JNG/121,http://ur.iaas.upenn.edu/location/4669/,JNG/121,,,,,,,,,,
JNG/122,http://ur.iaas.upenn.edu/location/4270/,JNG/122,,,Jemdat Nasr Grave 122,,,,,,,
JNG/123,http://ur.iaas.upenn.edu/location/3731/,JNG/123,,,Jemdat Nasr Grave 123,,,,,,,
JNG/124,http://ur.iaas.upenn.edu/location/4271/,JNG/124,,,Jemdat Nasr Grave 124,,,,,,,
JNG/125,http://ur.iaas.upenn.edu/location/4670/,JNG/125,,,,,,,,,,
JNG/126,http://ur.iaas.upenn.edu/location/4671/,JNG/126,,,,,,,,,,
JNG/127,http://ur.iaas.upenn.edu/location/4672/,JNG/127,,,,,,,,,,
JNG/128,http://ur.iaas.upenn.edu/location/4272/,JNG/128,,,Jemdat Nasr Grave 128,,,,,,,
JNG/129,http://ur.iaas.upenn.edu/location/4273/,JNG/129,,,Jemdat Nasr Grave 129,,,,,,,
JNG/13,http://ur.iaas.upenn.edu/location/4679/,JNG/13,,,,,,,,,,
JNG/130,http://ur.iaas.upenn.edu/location/4274/,JNG/130,,,Jemdat Nasr Grave 130,,,,,,,
JNG/131,http://ur.iaas.upenn.edu/location/4673/,JNG/131,,,,,,,,,,
JNG/132,http://ur.iaas.upenn.edu/location/4674/,JNG/132,,,,,,,,,,
JNG/133,http://ur.iaas.upenn.edu/location/4275/,JNG/133,,,Jemdat Nasr Grave 133,,,,,,,
JNG/134,http://ur.iaas.upenn.edu/location/4675/,JNG/134,,,,,,,,,,
JNG/135,http://ur.iaas.upenn.edu/location/4276/,JNG/135,,,Jemdat nasr Grave 135,,,,,,,
JNG/136,http://ur.iaas.upenn.edu/location/4277/,JNG/136,,,Jemdat Nasr Grave 136,,,,,,,
JNG/137,http://ur.iaas.upenn.edu/location/4278/,JNG/137,,,Jemdat nasr Grave 137,,,,,,,
JNG/138,http://ur.iaas.upenn.edu/location/4279/,JNG/138,,,Jemdat Nasr Grave 138,,,,,,,
JNG/139,http://ur.iaas.upenn.edu/location/3952/,JNG/139,,,Jemdat Nasr Grave 139,,,,,,,
JNG/14,http://ur.iaas.upenn.edu/location/4280/,JNG/14,,,Jemdat Nasr Grave 14,,,,,,,
JNG/140,http://ur.iaas.upenn.edu/location/4676/,JNG/140,,,,,,,,,,
JNG/15,http://ur.iaas.upenn.edu/location/4242/,JNG/15,,,Jemdat Nasr Grave 15,,,,,,,
JNG/16,http://ur.iaas.upenn.edu/location/4244/,JNG/16,,,Jemdat Nasr Grave 16,,,,,,,
JNG/17,http://ur.iaas.upenn.edu/location/3732/,JNG/17,,,Jemdat Nasr Grave 17,,,,,,,
JNG/18,http://ur.iaas.upenn.edu/location/1246/,JNG/18,Jemdat Nasr Grave 18,,,,,,,,,
JNG/19,http://ur.iaas.upenn.edu/location/4095/,JNG/19,,,Jemdat Nasr Grave 19,,,,,,,
JNG/2,http://ur.iaas.upenn.edu/location/4245/,JNG/2,,,Jemdat Nasr Grave 2,,,,,,,
JNG/20,http://ur.iaas.upenn.edu/location/4281/,JNG/20,,,Jemdat Nasr Grave 20,,,,,,,
JNG/21,http://ur.iaas.upenn.edu/location/4680/,JNG/21,,,,,,,,,,
JNG/22,http://ur.iaas.upenn.edu/location/3970/,JNG/22,,,Jemdat Nasr Grave 22,,,,,,,
JNG/23,http://ur.iaas.upenn.edu/location/4681/,JNG/23,,,,,,,,,,
JNG/24,http://ur.iaas.upenn.edu/location/4283/,JNG/24,,,Jemdat Nasr Grave 24,,,,,,,
JNG/25,http://ur.iaas.upenn.edu/location/4246/,JNG/25,,,Jemdat Nasr Grave 25,,,,,,,
JNG/26,http://ur.iaas.upenn.edu/location/4284/,JNG/26,,,Jemdat Nasr Grave 26,,,,,,,
JNG/27,http://ur.iaas.upenn.edu/location/4285/,JNG/27,,,Jemdat Nasr Grave 27,,,,,,,
JNG/28,http://ur.iaas.upenn.edu/location/4682/,JNG/28,,,,,,,,,,
JNG/29,http://ur.iaas.upenn.edu/location/4286/,JNG/29,,,Jemdat Nasr Grave 29,,,,,,,
JNG/3,http://ur.iaas.upenn.edu/location/4287/,JNG/3,,,Jemdat Nasr Grave 3,,,,,,,
JNG/30,http://ur.iaas.upenn.edu/location/4683/,JNG/30,,,,,,,,,,
JNG/31,http://ur.iaas.upenn.edu/location/4684/,JNG/31,,,,,,,,,,
JNG/32,http://ur.iaas.upenn.edu/location/4685/,JNG/32,,,,,,,,,,
JNG/33,http://ur.iaas.upenn.edu/location/4247/,JNG/33,,,Jemdat Nasr Grave 33,,,,,,,
JNG/34,http://ur.iaas.upenn.edu/location/4288/,JNG/34,,,Jemdat Nasr Grave 34,,,,,,,
JNG/35,http://ur.iaas.upenn.edu/location/4248/,JNG/35,,,Jemdat Nasr Grave 35,,,,,,,
JNG/36,http://ur.iaas.upenn.edu/location/4289/,JNG/36,,,Jemdat Nasr Grave 36,,,,,,,
JNG/37,http://ur.iaas.upenn.edu/location/4686/,JNG/37,,,,,,,,,,
JNG/38,http://ur.iaas.upenn.edu/location/4249/,JNG/38,,,Jemdat Nasr Grave 38,,,,,,,
JNG/39,http://ur.iaas.upenn.edu/location/4687/,JNG/39,,,,,,,,,,
JNG/4,http://ur.iaas.upenn.edu/location/3733/,JNG/4,,,Jemdat Nasr Grave 4,,,,,,,
JNG/40,http://ur.iaas.upenn.edu/location/4250/,JNG/40,,,Jemdat Nasr Grave 40,,,,,,,
JNG/41,http://ur.iaas.upenn.edu/location/4688/,JNG/41,,,,,,,,,,
JNG/42,http://ur.iaas.upenn.edu/location/1490/,JNG/42,Jemdat Nasr Grave 42,,,,,,,,,
JNG/43,http://ur.iaas.upenn.edu/location/4290/,JNG/43,,,Jemdat Nasr Grave 43,,,,,,,
JNG/44,http://ur.iaas.upenn.edu/location/4251/,JNG/44,,,Jemdat Nasr Grave 44,,,,,,,
JNG/45,http://ur.iaas.upenn.edu/location/4291/,JNG/45,,,Jemdat Nasr Grave 45,,,,,,,
JNG/46,http://ur.iaas.upenn.edu/location/4292/,JNG/46,,,Jemdat Nasr Grave 46,,,,,,,
JNG/47,http://ur.iaas.upenn.edu/location/4293/,JNG/47,,,Jemdat Nasr Grave 47,,,,,,,
JNG/48,http://ur.iaas.upenn.edu/location/4294/,JNG/48,,,Jemdat Nasr Grave 48,,,,,,,
JNG/49,http://ur.iaas.upenn.edu/location/4252/,JNG/49,,,Jemdat Nasr Grave 49,,,,,,,
JNG/5,http://ur.iaas.upenn.edu/location/4253/,JNG/5,,,Jemdat Nasr Grave 5,,,,,,,
JNG/50,http://ur.iaas.upenn.edu/location/4689/,JNG/50,,,,,,,,,,
JNG/51,http://ur.iaas.upenn.edu/location/4296/,JNG/51,,,Jemdat Nasr Grave 51,,,,,,,
JNG/52,http://ur.iaas.upenn.edu/location/4254/,JNG/52,,,Jemdat Nasr Grave 52,,,,,,,
JNG/53,http://ur.iaas.upenn.edu/location/4297/,JNG/53,,,Jemdat Nasr Grave 53,,,,,,,
JNG/54,http://ur.iaas.upenn.edu/location/4690/,JNG/54,,,,,,,,,,
JNG/55,http://ur.iaas.upenn.edu/location/4691/,JNG/55,,,,,,,,,,
JNG/56,http://ur.iaas.upenn.edu/location/4298/,JNG/56,,,Jemdat Nasr Grave 56,,,,,,,
JNG/57,http://ur.iaas.upenn.edu/location/4299/,JNG/57,,,Jemdat Nasr Grave 57,,,,,,,
JNG/58,http://ur.iaas.upenn.edu/location/4300/,JNG/58,,,Jemdat Nasr Grave 58,,,,,,,
JNG/59,http://ur.iaas.upenn.edu/location/4255/,JNG/59,,,Jemdat Nasr Grave 59,,,,,,,
JNG/6,http://ur.iaas.upenn.edu/location/4301/,JNG/6,,,Jemdat Nasr Grave 6,,,,,,,
JNG/60,http://ur.iaas.upenn.edu/location/4692/,JNG/60,,,,,,,,,,
JNG/61,http://ur.iaas.upenn.edu/location/4302/,JNG/61,,,Jemdat Nasr Grave 61,,,,,,,
JNG/62,http://ur.iaas.upenn.edu/location/4303/,JNG/62,,,Jemdat Nasr Grave 62,,,,,,,
JNG/63,http://ur.iaas.upenn.edu/location/4693/,JNG/63,,,,,,,,,,
JNG/64,http://ur.iaas.upenn.edu/location/4694/,JNG/64,,,,,,,,,,
JNG/65,http://ur.iaas.upenn.edu/location/4304/,JNG/65,,,Jemdat Nasr Grave 65,,,,,,,
JNG/66,http://ur.iaas.upenn.edu/location/4256/,JNG/66,,,Jemdat Nasr Grave 66,,,,,,,
JNG/67,http://ur.iaas.upenn.edu/location/4695/,JNG/67,,,,,,,,,,
JNG/68,http://ur.iaas.upenn.edu/location/4696/,JNG/68,,,,,,,,,,
JNG/69,http://ur.iaas.upenn.edu/location/4305/,JNG/69,,,Jemdat Nasr Grave 69,,,,,,,
JNG/7,http://ur.iaas.upenn.edu/location/4306/,JNG/7,,,Jemdat Nasr Grave 7,,,,,,,
JNG/70,http://ur.iaas.upenn.edu/location/4697/,JNG/70,,,,,,,,,,
JNG/71,http://ur.iaas.upenn.edu/location/4698/,JNG/71,,,,,,,,,,
JNG/72,http://ur.iaas.upenn.edu/location/4307/,JNG/72,,,Jemdat Nasr Grave 72,,,,,,,
JNG/73,http://ur.iaas.upenn.edu/location/4308/,JNG/73,,,Jemdat Nasr Grave 73,,,,,,,
JNG/74,http://ur.iaas.upenn.edu/location/4309/,JNG/74,,,Jemdat Nasr Grave 74,,,,,,,
JNG/75,http://ur.iaas.upenn.edu/location/4310/,JNG/75,,,Jemdat Nasr Grave 75,,,,,,,
JNG/76,http://ur.iaas.upenn.edu/location/3734/,JNG/76,,,Jemdat Nasr Grave 76,,,,,,,
JNG/77,http://ur.iaas.upenn.edu/location/4699/,JNG/77,,,,,,,,,,
JNG/78,http://ur.iaas.upenn.edu/location/4311/,JNG/78,,,Jemdat Nasr Grave 78,,,,,,,
JNG/78A,http://ur.iaas.upenn.edu/location/3709/,JNG/78A,Jemdat Nasr Grave 78A,,,,,,,,,
JNG/79,http://ur.iaas.upenn.edu/location/4700/,JNG/79,,,,,,,,,,
JNG/8,http://ur.iaas.upenn.edu/location/4701/,JNG/8,,,,,,,,,,
JNG/80,http://ur.iaas.upenn.edu/location/4312/,JNG/80,,,Jemdat nasr Grave 80,,,,,,,
JNG/81,http://ur.iaas.upenn.edu/location/4702/,JNG/81,,,,,,,,,,
JNG/82,http://ur.iaas.upenn.edu/location/4313/,JNG/82,,,Jemdat Nasr Grave 82,,,,,,,
JNG/83,http://ur.iaas.upenn.edu/location/4703/,JNG/83,,,,,,,,,,
JNG/84,http://ur.iaas.upenn.edu/location/4314/,JNG/84,,,Jemdat Nasr Grave 84,,,,,,,
JNG/85,http://ur.iaas.upenn.edu/location/4704/,JNG/85,,,,,,,,,,
JNG/86,http://ur.iaas.upenn.edu/location/4315/,JNG/86,,,Jemdat Nasr Grave 86,,,,,,,
JNG/87,http://ur.iaas.upenn.edu/location/4316/,JNG/87,,,Jemdat Nasr Grave 87,,,,,,,
JNG/88,http://ur.iaas.upenn.edu/location/4317/,JNG/88,,,Jemdat Nasr Grave 88,,,,,,,
JNG/89,http://ur.iaas.upenn.edu/location/4705/,JNG/89,,,,,,,,,,
JNG/9,http://ur.iaas.upenn.edu/location/4706/,JNG/9,,,,,,,,,,
JNG/90,http://ur.iaas.upenn.edu/location/3735/,JNG/90,,,Jemdat Nasr Grave 90,,,,,,,
JNG/91,http://ur.iaas.upenn.edu/location/4261/,JNG/91,,,Jemdat Nasr Grave 91,,,,,,,
JNG/92,http://ur.iaas.upenn.edu/location/4262/,JNG/92,,,Jemdat Nasr Grave 92,,,,,,,
JNG/93,http://ur.iaas.upenn.edu/location/3736/,JNG/93,,,Jemdat Nasr Grave 93,,,,,,,
JNG/94,http://ur.iaas.upenn.edu/location/4257/,JNG/94,,,Jemdat Nasr Grave 94,,,,,,,
JNG/95,http://ur.iaas.upenn.edu/location/4259/,JNG/95,,,Jemdat Nasr Grave 95,,,,,,,
JNG/96,http://ur.iaas.upenn.edu/location/4707/,JNG/96,,,,,,,,,,
JNG/97,http://ur.iaas.upenn.edu/location/4260/,JNG/97,,,Jemdat Nasr Grave 97,,,,,,,
JNG/98,http://ur.iaas.upenn.edu/location/4708/,JNG/98,,,,,,,,,,
JNG/99,http://ur.iaas.upenn.edu/location/4709/,JNG/99,,,,,,,,,,
Pit Z,http://ur.iaas.upenn.edu/location/3724/,Pit Z,Pit Z,"In season 8, Woolley expanded the Royal Cemetery (area PG) to the southwest and northeast. After digging more of the southwestern extent, he decided to investigate deeper still in two pits larger than those he dug in season 7 but not as large as Pit F in the Temenos area. These two pits were initially Pits I and J in the sequence but confusion with lettering caused Woolley to begin at the end of the alphabet and rename these pits Y and Z.

Pit I was located northwest of Pit J along the southwestern line of the Royal Cemetery excavation and was quickly renamed Pit Z. There are very few references to Pit I in the field records. Legrain lists PIG as a pit near PFT and the final letter G shows that it was within the Royal Cemetery area rather than the Temenos area. Pit Z is about 50 meters southeast of Pit F. The published stratigraphic profile shows it to be 6 meters wide at the top and 4 meters wide at the bottom. Its sides sloped in order to prevent collapse. It reached just below sea level and it revealed more of the seal impression strata that ran through the cemetery. This pit and Pit Y both uncovered graves earlier than the Royal Cemetery main burials. These graves were eventually given JNG numbers, a continuous sequence across Pits W, X, Y, and Z that collectively came to be considered area PJ. Several, however, were initially given PG numbers and later renumbered in the JNG sequence.",Pit I; Pit Z,,,,,,,
JNG/368,http://ur.iaas.upenn.edu/location/3725/,JNG/368,,,Jemdat Nasr Grave 368,,,,,,,
JNG/369,http://ur.iaas.upenn.edu/location/4727/,JNG/369,,,,,,,,,,
JNG/370,http://ur.iaas.upenn.edu/location/4728/,JNG/370,,,,,,,,,,
JNG?,http://ur.iaas.upenn.edu/location/3738/,JNG?,,,Jemdat Nasr Grave,,,,,,,
Private Graves 1001-1100,http://ur.iaas.upenn.edu/location/2628/,Private Graves 1001-1100,Private Graves 1001-1100,,,,,,,,,
PG/1001,http://ur.iaas.upenn.edu/location/2629/,PG/1001,PG/1001,,,,,,,,,,SA
PG/1002,http://ur.iaas.upenn.edu/location/2630/,PG/1002,PG/1002,,,,,,,,,,SA-NS
PG/1003,http://ur.iaas.upenn.edu/location/2631/,PG/1003,PG/1003,,,,,,,,,,NS
PG/1004,http://ur.iaas.upenn.edu/location/2632/,PG/1004,PG/1004,,,,,,,,,,MA-SA
PG/1005,http://ur.iaas.upenn.edu/location/2633/,PG/1005,PG/1005,,,,,,,,,,
PG/1006,http://ur.iaas.upenn.edu/location/2634/,PG/1006,PG/1006,,,,,,,,,,FA
PG/1007,http://ur.iaas.upenn.edu/location/2635/,PG/1007,PG/1007,,,,,,,,,,FA
PG/1008,http://ur.iaas.upenn.edu/location/2636/,PG/1008,PG/1008,,,,,,,,,,SA-NS
PG/1009,http://ur.iaas.upenn.edu/location/2637/,PG/1009,PG/1009,,,,,,,,,,SA-NS
PG/1010,http://ur.iaas.upenn.edu/location/2638/,PG/1010,PG/1010,,,,,,,,,,SA-NS
PG/1011,http://ur.iaas.upenn.edu/location/2639/,PG/1011,PG/1011,,,,,,,,,,MA-SA
PG/1012,http://ur.iaas.upenn.edu/location/2640/,PG/1012,PG/1012,,,,,,,,,,NS
PG/1013,http://ur.iaas.upenn.edu/location/2641/,PG/1013,PG/1013,,,,,,,,,,SA-NS
PG/1014,http://ur.iaas.upenn.edu/location/2642/,PG/1014,PG/1014,,,,,,,,,,MA-SA
PG/1015,http://ur.iaas.upenn.edu/location/2643/,PG/1015,PG/1015,,,,,,,,,,SA
PG/1016,http://ur.iaas.upenn.edu/location/2644/,PG/1016,PG/1016,,,,,,,,,,MA-SA
PG/1017,http://ur.iaas.upenn.edu/location/1365/,PG/1017,Personal Grave 1017,,,,,,,,,,FA
PG/1018,http://ur.iaas.upenn.edu/location/2645/,PG/1018,PG/1018,,,,,,,,,,MA-SA
PG/1019,http://ur.iaas.upenn.edu/location/2646/,PG/1019,PG/1019,,,,,,,,,,MA
PG/1020,http://ur.iaas.upenn.edu/location/2647/,PG/1020,PG/1020,,,,,,,,,,MA-SA
PG/1021,http://ur.iaas.upenn.edu/location/2648/,PG/1021,PG/1021,,,,,,,,,,NS
PG/1022,http://ur.iaas.upenn.edu/location/2649/,PG/1022,PG/1022,,,,,,,,,,
PG/1023,http://ur.iaas.upenn.edu/location/2650/,PG/1023,PG/1023,,,,,,,,,,MA-SA
PG/1024,http://ur.iaas.upenn.edu/location/2651/,PG/1024,PG/1024,,,,,,,,,,MA-SA
PG/1025,http://ur.iaas.upenn.edu/location/2652/,PG/1025,PG/1025,,,,,,,,,,SA-NS
PG/1026,http://ur.iaas.upenn.edu/location/2653/,PG/1026,PG/1026,,,,,,,,,,MA-SA
PG/1027,http://ur.iaas.upenn.edu/location/2654/,PG/1027,PG/1027,,,,,,,,,,MA-SA
PG/1028,http://ur.iaas.upenn.edu/location/1850/,PG/1028,Personal Grave 1028,,,,,,,,,,SA
PG/1029,http://ur.iaas.upenn.edu/location/943/,PG/1029,PG 1029,,,,,,,,,,MA-SA
PG/1030,http://ur.iaas.upenn.edu/location/2655/,PG/1030,PG/1030,,,,,,,,,,MA-SA
PG/1031,http://ur.iaas.upenn.edu/location/2656/,PG/1031,PG/1031,,,,,,,,,,SA-NS
PG/1032,http://ur.iaas.upenn.edu/location/2657/,PG/1032,PG/1032,,,,,,,,,,SA-NS
PG/1033,http://ur.iaas.upenn.edu/location/2658/,PG/1033,PG/1033,,,,,,,,,,SA-NS
PG/1034,http://ur.iaas.upenn.edu/location/2659/,PG/1034,PG/1034,,,,,,,,,,MA-SA
PG/1035,http://ur.iaas.upenn.edu/location/2660/,PG/1035,PG/1035,,,,,,,,,,SA
PG/1036,http://ur.iaas.upenn.edu/location/2661/,PG/1036,PG/1036,,,,,,,,,,FA
PG/1037,http://ur.iaas.upenn.edu/location/2662/,PG/1037,PG/1037,,,,,,,,,,SA-NS
PG/1038,http://ur.iaas.upenn.edu/location/1567/,PG/1038,,,Personal Grave 1038,,,,,,,,FA
PG/1039,http://ur.iaas.upenn.edu/location/2663/,PG/1039,PG/1039,,,,,,,,,,SA-NS
PG/1040,http://ur.iaas.upenn.edu/location/2664/,PG/1040,PG/1040,,,,,,,,,,MA
PG/1041,http://ur.iaas.upenn.edu/location/2665/,PG/1041,PG/1041,,,,,,,,,,MA-SA
PG/1042,http://ur.iaas.upenn.edu/location/2666/,PG/1042,PG/1042,,,,,,,,,,FA
PG/1043,http://ur.iaas.upenn.edu/location/1052/,PG/1043,PG 1043,,,,,,,,,,FA
PG/1044,http://ur.iaas.upenn.edu/location/2667/,PG/1044,PG/1044,,,,,,,,,,MA-SA
PG/1045,http://ur.iaas.upenn.edu/location/2668/,PG/1045,PG/1045,,,,,,,,,,MA
PG/1046,http://ur.iaas.upenn.edu/location/2669/,PG/1046,PG/1046,,,,,,,,,,FA
PG/1047,http://ur.iaas.upenn.edu/location/1851/,PG/1047,Personal Grave 1047,,,,,,,,,,FA
PG/1048,http://ur.iaas.upenn.edu/location/2670/,PG/1048,PG/1048,,,,,,,,,,MA-SA
PG/1049,http://ur.iaas.upenn.edu/location/2671/,PG/1049,PG/1049,,,,,,,,,,
PG/1050,http://ur.iaas.upenn.edu/location/1053/,PG/1050,PG 1050,,,,,,,,,,Mk
Body 24,http://ur.iaas.upenn.edu/location/3653/,Body 24,,,Body Number 24 in PG/1050,,,,,,,,
